Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
regulation of transcription from RNA polymerase II promoter (GO:0006357),0.4750695608718795,1.1052362123170594,0.029,1.0,1479,233,HEXIM1;SBNO2;NUPR1;STAT6;CTDSP1;HIRA;C1QBP;ZNF174;CBX7;ONECUT2;NOP2;MAML2;SREBF1;KAT2A;WWC2;TNIP1;HRAS;YEATS2;TFEB;STAT5B;PIN1;SMURF1;HEYL;MED31;AGRN;THAP11;TRERF1;CAV1;PAF1;BMP3;CSRNP1;HDAC10;PPRC1;DUSP22;ZMYM3;SP6;CITED4;CHCHD2;GDF10;TRAK1;MBD1;SSBP4;RAI1;TAF3;ETS2;ELMSAN1;CDK12;SREBF2;NR2F6;RUVBL2;SSU72;ANXA4;HIVEP1;SRF;NFKBIZ;BRD4;EZR;WT1;YBX1;SAFB2;RFX5;SMARCAL1;ZNF76;MED16;SP2;USP2;NFIA;CHD8;RFX1;GLMP;RPRD1B;FOXO6;MBD3;BMP7;HAND2;MED13L;KLF13;GDF6;DEAF1;NCOA7;LYL1;THRA;CRY2;PRPF6;FOXJ2;TADA3;ADCYAP1;RGMB;KANK2;ARNT2;BMP6;RPS6KA4;PPARGC1B;NR1D1;ZBTB18;IRF2BPL;KDM6B;FSTL3;CDK9;NANOS1;RELA;KLF15;SIM1;BCL6;GLI2;SFRP2;IKZF4;TSHZ1;ZMIZ2;CD81;TCF25;CTDP1;DOT1L;APOE;JAZF1;MYDGF;MAFK;ITGA3;FOXF1;NFATC2;NFE2L1;TAF13;APBB1;FOXS1;SALL2;USF2;ERBB2;GATA6;HDGF;HSF1;SMARCD3;NCOR2;RREB1;CC2D1A;E2F8;SUPT5H;FZD5;SUFU;MYCN;DDN;AMHR2;NFYC;ZNF608;ARRB1;CDKN2B;TGFB1;TCF21;PPARA;MEF2D;MEGF8;ZFPM2;TBX5;TOB1;GATAD2B;NR2F2;SOX12;ESRRB;GATA5;HELZ2;MAML3;BCL9L;PCSK6;NLRC5;JUP;ZFPM1;MTF1;CUX1;MNT;SIRT2;IL18;SMAD6;TP53;GTF2IRD1;CTBP1;ZHX2;MAVS;AES;SFRP4;MLXIP;NOC2L;PPARD;FOXP4;CBX6;NCOA1;SRCAP;RNF10;ZHX3;CRTC3;ELF4;KLF9;GLIS2;ASXL2;CHD4;GATA4;NPAS2;HOXC6;OSR1;STAT3;TGIF2;WBP2;ATP1B4;HOXB7;LIF;APP;TFE3;PRKCB;MED25;ZNF609;ABCA2;NR4A3;AEBP1;ELK1;PER1;ZMIZ1;VDR;NR2F1;WNT2;PKN1;UBN1;NFIC;RARA;PTCH1;MXD4;WWP2;WFS1;PITX2;NCK2;MECP2;CCND1;BHLHE41;PTPRN;TNFRSF1A;IGF2,HEXIM1;SBNO2;NUPR1;STAT6;CTDSP1;HIRA;C1QBP;ZNF174;CBX7;ONECUT2;NOP2;MAML2;SREBF1;KAT2A;WWC2;TNIP1;HRAS;YEATS2;TFEB;STAT5B;PIN1;SMURF1;HEYL;MED31;AGRN;THAP11;TRERF1;CAV1;PAF1;BMP3;CSRNP1;HDAC10;PPRC1;DUSP22;ZMYM3;SP6;CITED4;CHCHD2;GDF10;TRAK1;MBD1;SSBP4;RAI1;TAF3;ETS2;ELMSAN1;CDK12;SREBF2;NR2F6;RUVBL2;SSU72;ANXA4;HIVEP1;SRF;NFKBIZ;BRD4;EZR;WT1;YBX1;SAFB2;RFX5;SMARCAL1;ZNF76;MED16;SP2;USP2;NFIA;CHD8;RFX1;GLMP;RPRD1B;FOXO6;MBD3;BMP7;HAND2;MED13L;KLF13;GDF6;DEAF1;NCOA7;LYL1;THRA;CRY2;PRPF6;FOXJ2;TADA3;ADCYAP1;RGMB;KANK2;ARNT2;BMP6;RPS6KA4;PPARGC1B;NR1D1;ZBTB18;IRF2BPL;KDM6B;FSTL3;CDK9;NANOS1
positive regulation of cellular catabolic process (GO:0031331),0.6007746297926891,1.2602060894495402,0.032,1.0,107,28,BAD;TPCN1;TFEB;OPTN;PIK3CB;STK11;EZR;AKT2;ZC3HAV1;SH3D19;DAPK1;TNFRSF1B;GTPBP1;APOE;INSR;DTX3L;PPARA;SH3BP4;PIM2;SNX33;PNPLA2;TRIM8;PTTG1IP;FURIN;TRIM22;MSN;TICAM1;PFKFB3,BAD;TPCN1;TFEB;OPTN;PIK3CB;STK11;EZR;AKT2;ZC3HAV1;SH3D19;DAPK1;TNFRSF1B
positive regulation of intracellular protein transport (GO:0090316),0.5671753100037631,1.221550924139115,0.04,1.0,153,36,USP36;STARD7;OAZ2;KAT2A;SEC16A;MIEF1;EMD;CYB5R1;TCAF1;MBD1;RAC2;SREBF2;AKT2;ARIH2;HNMT;ABLIM3;UBE2L3;BAP1;KCNN3;FYN;ATG13;PINK1;BAG3;ERBB2;RAB29;CIB1;FZD5;TGFB1;RIPOR1;ZDHHC8;JUP;TP53;CEMIP;PEMT;MYO1C;HUWE1,USP36;STARD7;OAZ2;KAT2A;SEC16A;MIEF1;EMD;CYB5R1;TCAF1;MBD1;RAC2;SREBF2;AKT2;ARIH2;HNMT
histone modification (GO:0016570),0.6081325906196257,1.267019007304193,0.04104104104104104,1.0,99,22,USP36;HDAC11;KAT2A;PRMT6;KAT8;HDAC10;KDM4A;PHC1;RUVBL2;KANSL3;PRMT7;KAT14;RPS6KA4;USP22;TAF10;MAP3K12;BAZ2A;MIER2;SIRT2;PADI2;HUWE1;CPA4,USP36;HDAC11;KAT2A;PRMT6;KAT8;HDAC10;KDM4A;PHC1;RUVBL2;KANSL3
negative regulation of sequence-specific DNA binding transcription factor activity (GO:0043433),0.5918698454667612,1.2406112513489909,0.04212637913741224,1.0,141,26,LRRC14;HEYL;TRAF3;TAF3;NLRX1;ANXA4;PEX14;BMP7;SFRP5;DAP;FOXS1;FLNA;SUFU;ARRB1;NLRC5;PTGIS;CDKN2A;PIM1;SFRP4;GLIS2;CMKLR1;KEAP1;IRAK1;PTCH1;WWP2;WFS1,LRRC14;HEYL;TRAF3;TAF3;NLRX1;ANXA4;PEX14;BMP7;SFRP5
protein targeting (GO:0006605),0.5847820515412575,1.2420078259411307,0.044,1.0,134,28,AP4M1;ZDHHC7;MFN2;EXOC4;PEX6;TIMM13;CDC37;OPTN;TRAK1;KIF13B;TAOK2;LONP2;AP4E1;TOMM40;KATNB1;TOMM22;TMEM50A;ZDHHC11B;ZDHHC14;SLC25A6;GOLGA7B;ATG4D;TIMM22;ZDHHC3;MGARP;MYO1C;LTBP2;AP3D1,AP4M1;ZDHHC7;MFN2;EXOC4;PEX6;TIMM13;CDC37;OPTN;TRAK1;KIF13B;TAOK2;LONP2;AP4E1
regulation of autophagy (GO:0010506),0.5351380926271305,1.1780693382190492,0.05,1.0,204,54,BAD;USP36;CPTP;ERN1;SREBF1;KAT2A;TPCN1;EXOC4;TFEB;KAT8;OPTN;PIK3CB;KDM4A;STK11;UBQLN2;SREBF2;ATP6V1H;PRKAG2;DAPK1;EEF1A2;CAPNS1;PRKACA;ATP6V0E2;ABL1;ITPR1;SMCR8;ATG13;DAP;PINK1;WDR24;TMEM150A;MTOR;FZD5;MLST8;SNX32;ATP6V0A1;SH3BP4;PIM2;ZDHHC8;SIRT2;USP13;ULK3;TRIM8;CDK5;LAMTOR1;EIF4G1;CTSA;TRIM22;TICAM1;ATP6V0D1;PSAP;VPS26B;ATP13A2;BOK,BAD;USP36;CPTP;ERN1;SREBF1;KAT2A;TPCN1;EXOC4;TFEB;KAT8;OPTN;PIK3CB;KDM4A;STK11;UBQLN2;SREBF2;ATP6V1H;PRKAG2
protein processing (GO:0016485),0.6041570629106767,1.2530254158915406,0.05115346038114343,1.0,102,21,FXN;UQCRC1;F10;PRSS12;ADAMTS3;LONP2;CPD;RHBDF1;PMPCA;CTSH;PSEN2;GGT1;PCSK6;CPXM1;NCSTN;ECE1;FURIN;HM13;AEBP1;LGMN;PTCH1,FXN;UQCRC1;F10;PRSS12;ADAMTS3;LONP2;CPD
mitochondrion organization (GO:0007005),0.5456096349731386,1.182412159067258,0.058,1.0,168,40,ATPAF1;FXN;MFN2;SPATA18;MSTO1;MIEF1;TMEM70;TIMM13;CXADR;BCL2A1;PPRC1;CHCHD2;TRAK1;PPIF;LONP1;TOMM40;NOS3;SLC25A4;CHCHD10;TOMM22;BAX;CLUH;NFE2L1;MUL1;PINK1;AARS2;RAB29;BCL2L1;IDH2;SLC25A6;DNM2;TIMM22;DNM3;ALAS1;MIGA2;MGARP;HK2;EIF4G1;TWNK;WDR81,ATPAF1;FXN;MFN2;SPATA18;MSTO1;MIEF1;TMEM70;TIMM13;CXADR;BCL2A1;PPRC1;CHCHD2;TRAK1
cellular response to organic substance (GO:0071310),0.5851357237490876,1.23443531111379,0.059,1.0,134,27,IL18BP;MAPK10;IL18R1;EMD;STAT5B;DCPS;OXTR;DPYSL3;PTPN18;CDK9;NANOS1;CACNA1H;SHC1;TWF2;ERBB2;CIB1;MAPK12;TGFB1;PPARA;IL18;SIK2;IGFBP5;NCOA1;MAPK11;STAT3;MAPK4;SLIT3,IL18BP;MAPK10;IL18R1;EMD;STAT5B;DCPS;OXTR
respiratory electron transport chain (GO:0022904),0.5978457398088938,1.2349372274240928,0.06106106106106106,1.0,95,20,NDUFAF1;UQCR11;CYC1;UQCRC1;COX8A;UQCRFS1;NDUFS8;MT-ND3;COX5A;MT-ND2;MT-ND1;SDHA;NDUFV1;MT-ND4;ALDH5A1;NDUFB10;MT-ND4L;MT-CYB;MT-ND6;MT-ND5,NDUFAF1;UQCR11;CYC1;UQCRC1;COX8A;UQCRFS1;NDUFS8;MT-ND3;COX5A;MT-ND2;MT-ND1;SDHA;NDUFV1
glycosphingolipid metabolic process (GO:0006687),0.6017460453272635,1.2275968892855984,0.06506506506506507,1.0,55,18,CPTP;SUMF1;GALC;NEU1;ASAH1;SMPD3;ST6GALNAC6;ST6GALNAC5;ARSI;SMPD1;GBA2;ARSA;GLTP;ARSJ;ARSB;CTSA;LARGE1;PSAP,CPTP;SUMF1;GALC;NEU1;ASAH1;SMPD3
ER to Golgi vesicle-mediated transport (GO:0006888),0.5486899615285262,1.1882592838782906,0.068,1.0,181,37,GOSR1;GORASP1;TEX261;TFG;CTSZ;COG1;COPG1;DCTN3;F10;SPTBN5;KDELR1;YIF1A;TMED9;ACTR1A;CAPZB;PREB;TRAPPC12;COPE;TBC1D20;NSF;ARCN1;ERGIC1;ANK2;TRAPPC1;NAPA;WHAMM;TMEM115;MPPE1;SEC24C;YKT6;BET1L;COPZ2;SPTBN1;DCTN1;GBF1;SPTB;SPTAN1,GOSR1;GORASP1;TEX261;TFG;CTSZ;COG1;COPG1;DCTN3;F10;SPTBN5;KDELR1;YIF1A;TMED9;ACTR1A;CAPZB;PREB
small GTPase mediated signal transduction (GO:0007264),0.5868519739713272,1.2229702203701758,0.071,1.0,100,22,CNKSR3;HRAS;ARHGAP32;ARHGAP31;TRIM28;ARHGEF37;ARFIP2;RRAS;PLCE1;SHC1;ARHGAP18;MRAS;RREB1;ARHGAP1;MAPKAPK2;ABR;RIN2;CDKN2A;TP53;GRB2;MAPK11;RRAD,CNKSR3;HRAS;ARHGAP32;ARHGAP31;TRIM28;ARHGEF37;ARFIP2
regulation of signal transduction by p53 class mediator (GO:1901796),0.6006793738360647,1.2296706625014386,0.076,1.0,139,20,HEXIM1;NOP2;BRPF1;PIN1;TP53RK;TAF3;STK11;PRKAG2;MBD3;PPP1R13B;TAF13;TAF10;TAF6;HIPK1;PML;TP53;NOC2L;MAPK11;CHD4;CDK5,HEXIM1;NOP2;BRPF1;PIN1;TP53RK;TAF3;STK11;PRKAG2;MBD3
regulation of type I interferon production (GO:0032479),0.6027089985068448,1.240754704599841,0.07707707707707707,1.0,86,20,STAT6;PIN1;PQBP1;TRAF3;IKBKE;NLRX1;DHX33;RELA;RNF216;POLR2L;POLR2E;POLR3A;NPLOC4;DTX4;TRIM32;NLRC5;MAVS;TRIM25;POLR3H;IRAK1,STAT6;PIN1;PQBP1;TRAF3;IKBKE;NLRX1;DHX33
peptide metabolic process (GO:0006518),0.585801312925258,1.2170409271921945,0.07915831663326653,1.0,105,22,DPEP1;F10;ACE;IDE;RNPEP;DNPEP;OPLAH;CPD;CTNS;CPQ;ALDH5A1;APEH;GSR;MGST1;PSEN2;RNPEPL1;CPXM1;FURIN;HM13;AEBP1;BACE1;TPP1,DPEP1;F10;ACE;IDE;RNPEP;DNPEP;OPLAH;CPD;CTNS;CPQ
regulation of intracellular signal transduction (GO:1902531),0.49624037222278256,1.1190671127893603,0.087,1.0,423,84,ARHGAP45;CHN2;NOP2;BRPF1;PIN1;ARHGEF3;ARHGAP32;AKAP5;ARHGAP31;NF2;BMP3;OPTN;GDF10;TP53RK;TAF3;STK11;NLRX1;RAC2;ANKRD54;ARHGAP39;AKAP13;FBXO9;NGEF;CPNE1;FGD3;PRKAG2;ITSN1;ARAP3;RHOBTB1;MBD3;BMP7;RRAS;GDF6;SPHKAP;BMP6;PPP1R13B;GNA12;RELA;RHOD;OCRL;SRGAP2;ARHGAP18;ARHGAP22;PPP2R5B;GMIP;TAF13;TAF10;KCTD11;ARHGAP26;PIP5K1C;ARHGEF26;PHLPP1;RHOB;A2M;ARAP1;TAGAP;ARHGEF17;ARHGAP1;TAF6;TEK;DLC1;ARHGAP24;TGFB1;ABR;HIPK1;ARHGEF4;ARHGAP10;PML;TP53;RHOBTB2;NOC2L;MAPK11;RHOG;SYDE1;CHD4;CDK5;PAK4;ARHGAP6;GDF11;CMKLR1;RHOC;ARHGAP23;ARAF;RNF41,ARHGAP45;CHN2;NOP2;BRPF1;PIN1;ARHGEF3;ARHGAP32;AKAP5;ARHGAP31;NF2;BMP3;OPTN;GDF10;TP53RK;TAF3;STK11;NLRX1;RAC2;ANKRD54;ARHGAP39;AKAP13;FBXO9;NGEF;CPNE1;FGD3;PRKAG2;ITSN1;ARAP3;RHOBTB1;MBD3;BMP7;RRAS
platelet degranulation (GO:0002576),0.5594119500444471,1.1849923772000475,0.092,1.0,125,27,TEX264;ACTN1;CYB5R1;CD63;TOR4A;VEGFB;BRPF3;RARRES2;PCYOX1L;TIMP1;FLNA;A2M;TGFB1;SELP;APLP2;SERPING1;ECM1;ALDOA;LGALS3BP;APP;QSOX1;SPARC;STXBP1;CLU;PSAP;TLN1;IGF2,TEX264;ACTN1;CYB5R1;CD63;TOR4A
proteolysis (GO:0006508),0.5191284847518748,1.1459795487035702,0.093,1.0,292,54,CAPN2;GGT5;CTSB;CTSZ;UQCRC1;ACE;IDE;RNPEP;CASP7;CPNE1;ADAMTS3;CASP6;LONP2;CPD;LONP1;CPQ;DPP7;FBXW2;ADAM33;RHBDF1;DPP3;APEH;MMP15;KCTD11;TINAGL1;PMPCA;SUFU;CTSH;PSEN2;GGT1;OLR1;ADAMTS12;MMP24;PCSK6;BMP1;RNPEPL1;CPXM1;NCSTN;ECE1;RNF123;FURIN;HM13;CTSA;CLPP;AEBP1;BACE1;TPP1;LGMN;HTRA3;TRABD2B;PTCH1;CTSD;CPA4;DPP4,CAPN2;GGT5;CTSB;CTSZ;UQCRC1;ACE;IDE;RNPEP;CASP7;CPNE1;ADAMTS3;CASP6;LONP2;CPD;LONP1;CPQ;DPP7;FBXW2
DNA metabolic process (GO:0006259),0.5717521976017776,1.1892829195600163,0.10810810810810811,1.0,315,23,RBMS1;DDB1;DNASE1L1;PTMS;TATDN2;TRIM28;POLD2;POLG;MBD1;SMARCAL1;TERF2;LONP1;MBD3;RECQL5;GADD45A;DOT1L;VCP;TNFAIP1;CDC34;MTOR;TERF1;POLE4;TP53,RBMS1;DDB1;DNASE1L1;PTMS;TATDN2;TRIM28;POLD2;POLG;MBD1;SMARCAL1;TERF2;LONP1;MBD3;RECQL5
positive regulation of protein catabolic process (GO:0045732),0.5771981489059776,1.1883800522071988,0.11322645290581163,1.0,82,19,DDB1;OAZ2;SMURF1;ANAPC2;IDE;EZR;SH3D19;TNFRSF1B;VPS28;NSF;VCP;APOE;SNX33;TRIM32;PTTG1IP;FURIN;MSN;WWP2;RNF41,DDB1;OAZ2;SMURF1;ANAPC2;IDE;EZR;SH3D19;TNFRSF1B;VPS28
regulation of protein catabolic process (GO:0042176),0.5779180775185333,1.1887494675497712,0.12036108324974924,1.0,92,20,DDB1;OAZ2;PIN1;SMURF1;ANAPC2;AZIN2;IDE;VPS28;SNX12;EEF1A2;NSF;VCP;FLNA;TRIM32;SIRT2;FURIN;CTSA;ATP13A2;WWP2;RNF41,DDB1;OAZ2;PIN1;SMURF1;ANAPC2;AZIN2;IDE;VPS28;SNX12;EEF1A2
negative regulation of cell growth (GO:0030308),0.5561078854969775,1.168582728093718,0.12412412412412413,1.0,116,26,NDRG3;NME6;DNAJB2;SESN2;DCBLD2;ST7L;DCUN1D3;STK11;WT1;NPR1;BCL6;CCDC85B;SFRP2;MUL1;APBB1;PPP1R9B;SIPA1;TGFB1;SH3BP4;CDKN2A;PML;TP53;ADAM15;FHL1;PPP2R1A;SLIT3,NDRG3;NME6;DNAJB2;SESN2;DCBLD2;ST7L;DCUN1D3;STK11;WT1
anterograde trans-synaptic signaling (GO:0098916),0.5408493055382393,1.1502516464433863,0.126,1.0,241,30,APBA1;EXOC4;CHRNB4;AKAP5;CACNB3;PCDHB16;GABRB2;NPY1R;DLG2;OPRK1;GABRB3;NPY;DOC2A;GRM2;MBP;DLG4;KIF5A;PDE7B;CNP;KCNC4;GABRA2;NPY6R;SLC12A7;GPR176;KCNK3;SYN1;CDK5;SST;CACNA1B;GRIK4,APBA1;EXOC4;CHRNB4;AKAP5;CACNB3;PCDHB16;GABRB2;NPY1R;DLG2;OPRK1;GABRB3;NPY;DOC2A;GRM2;MBP;DLG4
cellular response to oxidative stress (GO:0034599),0.5710585680332165,1.1753153027614143,0.13827655310621242,1.0,116,21,P4HB;PXN;CYBA;SESN2;PDK2;PRDX6;PRDX1;LONP1;TXNRD2;DAPK1;PYCR2;ABL1;PINK1;PRDX2;GSR;CCS;SIRT2;TP53;GPX3;SOD3;ATP13A2,P4HB;PXN;CYBA;SESN2;PDK2;PRDX6;PRDX1;LONP1;TXNRD2;DAPK1
skeletal system development (GO:0001501),0.5326709455758329,1.1377023904994006,0.143,1.0,147,31,HAPLN3;FBN1;BMP3;VKORC1;GDF10;ETS2;AKAP13;PRDX1;GNAS;BMP7;TCOF1;DEAF1;BMP6;GLI2;TLL1;SHOX2;SUFU;COL1A1;PAPSS2;SULF1;BMP1;EXTL1;P3H1;COL2A1;GDF11;CMKLR1;AEBP1;EXT1;PITX1;PRELP;IGF2,HAPLN3;FBN1;BMP3;VKORC1;GDF10;ETS2;AKAP13;PRDX1;GNAS;BMP7;TCOF1;DEAF1
transforming growth factor beta receptor signaling pathway (GO:0007179),0.5858619834601246,1.1867532103932974,0.14829659318637275,1.0,77,16,PXN;SMURF1;DUSP22;GDF10;EID2;ITGB5;FKBP1A;TGFBRAP1;CGN;PRKCZ;TGFB1;COL3A1;FURIN;UBE2M;LTBP2;ZYX,PXN;SMURF1;DUSP22;GDF10;EID2
IRE1-mediated unfolded protein response (GO:0036498),0.5597622654431111,1.1558289547523286,0.153,1.0,58,21,WIPI1;ERN1;KDELR3;TATDN2;YIF1A;ADD1;KLHDC3;PREB;SYVN1;SHC1;PPP2R5B;MYDGF;ASNA1;HDGF;EXTL1;DCTN1;ATP6V0D1;TLN1;TPP1;EXTL3;WFS1,WIPI1;ERN1;KDELR3;TATDN2;YIF1A;ADD1;KLHDC3;PREB
protein maturation (GO:0051604),0.5702849238932449,1.1657884815861386,0.15430861723446893,1.0,84,18,UQCRC1;TESC;ADAMTS3;LONP2;TSPAN5;CPD;RHBDF1;PMPCA;GLRX5;PSEN2;PCSK6;CPXM1;NCSTN;ECE1;FURIN;TSPAN15;AEBP1;PTCH1,UQCRC1;TESC;ADAMTS3;LONP2;TSPAN5;CPD
Golgi organization (GO:0007030),0.565992654760876,1.168791738982857,0.15546639919759278,1.0,122,19,GORASP1;SEC16A;PI4K2A;COG1;OPTN;SPTBN5;STK25;TMED9;GORASP2;TANGO2;TRAPPC12;MYO18A;TBC1D20;CSNK1D;PLEKHM2;RAB29;NPLOC4;GBF1;ATP8B2,GORASP1;SEC16A;PI4K2A;COG1;OPTN;SPTBN5;STK25;TMED9;GORASP2;TANGO2;TRAPPC12
