Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
positive regulation of response to external stimulus (GO:0032103),0.8978475137240762,1.1548866908629747,0.017,0.5904807109026854,91,20,USF1;CCL3L1;THBS1;PTGER4;TNIP1;THBD;F2RL1;WNT5A;PDE2A;IL33;GPRC5B;DHX9;BMP6;CYBA;PDGFB;TNFRSF1A;PPM1F;HYAL2;SERPINE1;TGFB1,USF1;CCL3L1
chromosome organization (GO:0051276),0.9011358463802479,1.1562671966494302,0.016,0.5956545600349094,57,19,COPS6;CUL4B;CDT1;UBA52;MSH6;INSL3;HHEX;RAD23B;AXIN2;CENPT;GPS1;LATS1;CUL4A;CENPV;DDB1;GEM;NUP155;MYC;HMGA2,COPS6;CUL4B;CDT1
integrin-mediated signaling pathway (GO:0007229),0.8868227734184587,1.147919573561775,0.009,0.601844607422832,59,24,ILK;COL16A1;CD47;NME2;CEACAM1;ITGAV;ITGB1;LAMA5;SRC;ITGB3;ITGB1BP1;ITGA11;MYH9;ADAM15;ADAM9;SEMA7A;THY1;ADAMTS1;ADAM11;BCAR1;ZYX;NRP1;ITGB5;ITGA2,ILK
regulation of protein metabolic process (GO:0051246),0.8860262312374223,1.152487583012685,0.012,0.6040955337457129,60,26,ABTB2;BTBD1;BTBD6;LRP1;ODC1;BTBD11;ACE;HGS;FAF1;TRAF3;PM20D2;MAPK7;FAM83D;BTBD2;APOE;FURIN;LTBP4;GATA3;WFS1;KLHL11;ABTB1;FKBP1A;SPOPL;SSH1;PLAUR;MTPN,ABTB2;BTBD1;BTBD6
negative regulation of protein serine/threonine kinase activity (GO:0071901),0.8770041414266707,1.1502077370668653,0.006,0.6151351439511749,68,33,NF1;INCA1;PTPN1;TESK1;LRP6;CEBPA;IPO5;HHEX;PRKAR2B;BMP7;PRKCD;APOE;GSTP1;LATS1;PRKAR1A;DUSP7;IL1B;PLK1;LYN;AKT1;TFAP4;RGS14;SPRY2;PRKAR1B;LRP5;PKIA;PAQR3;HYAL2;SPRY1;DAB2IP;SPRY4;DUSP1;NR2F2,NF1;INCA1;PTPN1
semaphorin-plexin signaling pathway (GO:0071526),0.8989430762957458,1.156856733380334,0.013,0.6169520914992651,30,23,SEMA3G;SEMA4D;ARHGDIA;FLNA;RAC1;SEMA3B;PLXND1;NELL2;SEMA4G;PLXNB1;SEMA4C;SEMA3D;SEMA3F;SEMA7A;SH3BP1;SEMA4B;PLXNB3;PLXNA2;PLXNA3;PLXNB2;MET;NRP1;SEMA4F,SEMA3G
regulated exocytosis (GO:0045055),0.864503519127886,1.1481271640049489,0.001,0.6231714373570962,149,59,TF;IGF2;APLP2;SERPINA1;TOR4A;ACTN2;CYB5R1;VAMP2;CD63;RAB11B;THBS1;NHLRC2;LGALS3BP;ECM1;FLNA;LHFPL2;SCG3;SYTL4;CFD;TIMP1;STXBP2;TGFB2;RAB31;MMRN1;ALDOA;GAS6;TMX3;ARHGAP17;ENDOD1;CHID1;SDF4;RAB26;ITGB3;QSOX1;LYN;MANF;CALM1;PCDH7;PDGFB;ACTN1;RIMS3;CD9;SYNGR2;HGF;PDGFA;STXBP1;TAGLN2;VEGFB;WDR1;FN1;SYNGR3;VEGFA;ABCC4;VEGFC;SERPINE1;TGFB1;LAMP2;TLN1;TIMP3,TF;IGF2;APLP2;SERPINA1;TOR4A;ACTN2;CYB5R1;VAMP2;CD63;RAB11B
intracellular steroid hormone receptor signaling pathway (GO:0030518),0.904495169465898,1.1581204005612875,0.02,0.6278381397497143,67,17,SAFB;CCNE1;GPER1;RNF14;PADI2;PMEPA1;EGLN2;RBM14;TGFB1I1;SRC;CTNNB1;NRIP1;KAT5;DDX5;PPARGC1B;PIAS2;FHL2,SAFB
regulation of axon extension involved in axon guidance (GO:0048841),0.9132938388856329,1.164047903358677,0.019,0.6346715253960477,23,15,SEMA3G;SEMA4D;SEMA3B;SEMA4G;SEMA4C;SEMA3D;SEMA3F;PLXNA1;SEMA7A;SEMA4B;PLXNA2;PLXNA3;VEGFA;NRP1;SEMA4F,SEMA3G
neural crest cell migration (GO:0001755),0.9132888524841886,1.1684697117584302,0.02,0.6373894949214186,29,16,SEMA3G;SEMA4D;GDNF;SEMA3B;SEMA4G;SEMA4C;SEMA3D;CORO1C;NRTN;SEMA3F;SEMA7A;SEMA4B;SOX8;TBX1;NRP1;SEMA4F,SEMA3G
peptidyl-asparagine modification (GO:0018196),0.921920007448856,1.186965791805816,0.008,0.6448620796003359,46,20,ST6GALNAC2;UGGT2;STT3B;DPM3;NUDT14;DERL3;SYVN1;DDOST;ASGR1;ST3GAL4;RPN1;STT3A;ST6GALNAC6;FUT8;LMAN1;ST6GALNAC4;ST3GAL1;ST6GAL1;ST3GAL5;UBE2G2,ST6GALNAC2;UGGT2
peptidyl-tyrosine autophosphorylation (GO:0038083),0.9089072718195601,1.1610469860821984,0.023,0.6507549818563204,46,17,BLK;SLA2;FES;JAK1;FYN;TNK2;TNK1;DYRK1A;JAK3;SRC;DDR1;LYN;EGFR;CSK;MATK;YES1;MAPK3,BLK;SLA2
platelet degranulation (GO:0002576),0.8652610809882685,1.1424113889476852,0.002,0.6520049914257716,125,50,TF;IGF2;APLP2;SERPINA1;TOR4A;ACTN2;CYB5R1;CD63;THBS1;NHLRC2;LGALS3BP;ECM1;FLNA;LHFPL2;SCG3;SYTL4;CFD;TIMP1;STXBP2;TGFB2;MMRN1;ALDOA;GAS6;TMX3;ENDOD1;CHID1;ITGB3;QSOX1;LYN;MANF;CALM1;PCDH7;PDGFB;ACTN1;CD9;HGF;PDGFA;STXBP1;TAGLN2;VEGFB;WDR1;FN1;VEGFA;ABCC4;VEGFC;SERPINE1;TGFB1;LAMP2;TLN1;TIMP3,TF;IGF2;APLP2;SERPINA1;TOR4A;ACTN2;CYB5R1;CD63
regulation of neuronal synaptic plasticity (GO:0048168),0.8938620337664405,1.1361546248210024,0.05005005005005005,0.6529424986028601,25,15,SHISA9;NETO1;RAB3A;DLG4;APOE;ARC;SHISA8;CAMK2B;DBN1;SHISA7;SLC8A2;SYP;PPFIA3;NSMF;EPHB2,SHISA9
pyruvate metabolic process (GO:0006090),0.8894771852839298,1.1409367992207549,0.03,0.6545050105646741,47,20,SDS;HAGH;PGAM1;GCK;PGK1;PGM1;PFKL;ALDOA;LDHA;PCK2;PKM;TPI1;CELSR1;ENO2;BSG;HK2;SLC16A3;HK1;SLC16A1;GLO1,SDS;HAGH
ameboidal-type cell migration (GO:0001667),0.906041981307974,1.158517437237279,0.018,0.6571815016427933,41,18,SEMA3G;SEMA4D;NANOS1;GDNF;SEMA3B;SEMA4G;SEMA4C;SEMA3D;CORO1C;CENPV;NRTN;SEMA3F;ITGA4;SEMA7A;SEMA4B;SOX8;TBX1;SEMA4F,SEMA3G
positive regulation of fat cell differentiation (GO:0045600),0.8878785291400448,1.1326815756484654,0.059,0.6579478940645342,40,15,WDFY2;TMEM64;XBP1;FRZB;PPARD;TRPM4;ZFP36L1;ZC3H12A;AKT1;FNDC5;LRP5;CEBPB;CARM1;METRNL;SFRP1,WDFY2
muscle organ development (GO:0007517),0.8688128784281797,1.1335654070570453,0.014,0.6595638728222181,61,28,SGCZ;MKX;EGR3;POU6F1;SRI;SGCE;EMD;EVC;COPRS;SMTN;MEF2A;FHL3;HBEGF;TEAD4;MRAS;LARGE1;ZBTB42;ITGA11;MAPK12;SPEG;ACHE;TAGLN;ITGA7;FHL1;AEBP1;TBX1;CACNA1H;COL6A3,SGCZ;MKX;EGR3;POU6F1
cell-cell junction assembly (GO:0007043),0.8918093025654484,1.1364934822760107,0.034,0.6673276893738836,80,17,CLDN3;OCLN;PARD6G;TBCD;TRPV4;GJC1;CDH13;MICALL2;CDH24;GJB2;CNTNAP1;CD9;CDH2;PKP3;WDR1;FSCN1;TLN1,CLDN3
positive regulation of cytoskeleton organization (GO:0051495),0.8829903056305848,1.1428207703326327,0.014,0.6690051215703087,78,25,CFL2;PFDN2;RHOG;FES;LIMK1;BAIAP2;CDK5;EDN1;F2RL1;PFN1;RAC1;CTTN;CDC42EP2;CDC42EP1;HRAS;SORBS3;CDC42EP4;CDC42EP5;PDXP;NCK2;WDR1;ARF6;NES;NRP1;CDC42EP3,CFL2;PFDN2
T cell activation (GO:0042110),0.8831574918678389,1.133918792991707,0.032,0.6738233402743752,89,20,CTPS1;BLK;SLA2;ADA;MICB;NHEJ1;PIK3CD;FYN;DDOST;HSPD1;SOX4;ICOSLG;F2RL1;LFNG;IFNE;NCK2;FKBP1A;MSN;CD276;JAG2,CTPS1;BLK;SLA2;ADA;MICB
negative regulation of blood vessel morphogenesis (GO:2000181),0.9009665737019997,1.169122985130386,0.004,0.6746718316184876,66,25,SULF1;SARS;RGCC;THBS1;WNT4;HGS;HOXA5;XDH;FOXC1;HHEX;TGFB2;PGK1;SERPINF1;VASH1;NPR1;EFNA3;CTNNB1;FAM129B;SPRY2;ADGRB1;DCN;COL4A2;DAB2IP;ATF2;THBS2,SULF1;SARS;RGCC
phosphatidylinositol 3-kinase signaling (GO:0014065),0.9134151263253619,1.1641760963651218,0.024,0.6770051828147966,31,15,NF1;PIK3CD;PIK3R5;ERBB2;C1QBP;ERBB3;EDN1;ZFP36L1;PIK3R1;LTK;GATA3;NYAP1;TYRO3;AKT1;IRS1,NF1
nucleocytoplasmic transport (GO:0006913),0.8780284246097145,1.12475401916123,0.048,0.6775528060547468,47,18,DDX20;GEMIN4;ANP32A;RITA1;HNRNPA1;GEMIN7;MALT1;NXT1;SET;NCBP2;CITED1;EIF5A;NUTF2;GEMIN5;ANP32E;RGS14;MYBBP1A;NCBP1,DDX20;GEMIN4;ANP32A;RITA1
interferon-gamma-mediated signaling pathway (GO:0060333),0.8834466299366508,1.125362499441278,0.064,0.6826637627194345,71,16,HLA-DPB1;IFNGR1;IRF5;ICAM1;TRIM26;JAK1;CAMK2G;MT2A;PRKCD;IFNGR2;IRF3;CAMK2B;TRIM62;TRIM25;TRIM8;CD44,HLA-DPB1;IFNGR1
monocarboxylic acid biosynthetic process (GO:0072330),0.89203798251486,1.1368216314052908,0.046,0.6828718943940879,69,18,SDS;MCAT;CHST12;XBP1;HSD3B7;NDUFAB1;CYP46A1;SLC27A2;UST;ASNS;DSE;CHST14;CSPG4;BGN;CSPG5;DCN;ACLY;ALDH1A3,SDS;MCAT
regulation of Rho protein signal transduction (GO:0035023),0.8813406978238478,1.130265263893922,0.032,0.6833941206142142,58,20,GPR65;GPR20;ARAP3;KANK1;ARHGDIA;MYO9B;F2RL1;APOE;RAC1;GPR17;GPR4;ARRB1;EPS8L2;LPAR1;RTN4R;ABCA1;ROBO1;MET;NRP1;F2R,GPR65;GPR20;ARAP3;KANK1
cAMP-mediated signaling (GO:0019933),0.8612103758424183,1.1218503680195877,0.015,0.6842719051118732,76,29,MC1R;GPR65;GPR78;PTGER4;GPER1;RAPGEF3;PTGER2;MAPK7;PTGIR;ADM;ADCY7;DGKQ;GAL;PTGFR;PDE3A;PDE2A;PTHLH;UCN2;TBXA2R;GNAL;GPR3;ADCY3;PDE4D;GNAS;ABCA1;ADCY1;GNA13;ADCY9;SOX9,MC1R;GPR65;GPR78
negative regulation of protein catabolic process (GO:0042177),0.8774098871693421,1.1232285779136568,0.05,0.6903308662249467,40,18,AZIN2;MAD2L1;MAD2L2;CST3;FLNA;TIMP1;CTSA;FMN2;RILP;PRKCG;PTPN3;ADGRB1;EGFR;TIMP2;DAB2IP;SF3B3;AGAP2;TIMP3,AZIN2;MAD2L1;MAD2L2
cellular response to metal ion (GO:0071248),0.8634390529137808,1.1277885480069583,0.019,0.6917947697207252,101,33,TF;MCOLN1;ATP13A2;HPCA;MAPK9;TIGAR;SCN5A;MT2A;MT1X;MEF2A;WNT5A;TFAP2A;CPNE3;AKT1;FOS;ITPKB;BMP6;RASGRP2;TFR2;BNIP3;IQGAP1;PRNP;EGFR;CPNE7;MAPK1;MMP9;ADCY1;CACNA1H;PPIF;MAPK3;CLIC4;JUN;SLC41A1,TF;MCOLN1;ATP13A2;HPCA
positive regulation of cell morphogenesis involved in differentiation (GO:0010770),0.862348331645943,1.1203474375795792,0.025,0.6970053359260167,59,27,LIMS1;CIB1;ARHGEF7;ARHGDIA;DOCK5;S100A10;C1QBP;FLNA;NGFR;RAC1;AMIGO1;TRIOBP;CALR;PLXND1;OBSL1;PLXNB1;MYADM;PLXNA1;CAPRIN2;PLXNB3;SLIT2;SS18L1;PLXNA2;ROBO1;PLXNA3;PLXNB2;NRP1,LIMS1
neurogenesis (GO:0022008),0.8721182709528518,1.1264372440513717,0.026,0.6976976489183281,51,23,BCL11B;METTL3;ABTB2;BTBD1;BTBD6;RITA1;SALL4;ROGDI;BCL11A;BTBD11;SPOCK1;TRAK1;BTBD2;TGFB2;HAP1;KIF17;CHAC1;DAGLA;SIX4;TCF7L1;MAPT;DCHS1;RYK,BCL11B;METTL3;ABTB2;BTBD1;BTBD6;RITA1;SALL4
protein N-linked glycosylation (GO:0006487),0.8621423310937911,1.125429422339406,0.015,0.6984303468351911,74,30,ST6GALNAC2;UGGT2;B3GALNT1;ALG8;STT3B;MGAT5B;PMM1;DPM3;NUDT14;DERL3;SYVN1;DDOST;ASGR1;ST3GAL4;RPN1;MAN1C1;STT3A;ST6GALNAC6;FUT8;LMAN1;ST6GALNAC4;B4GALT7;ST3GAL1;ST6GAL1;PMM2;ST3GAL5;PGM3;UBE2G2;GFPT2;MOGS,ST6GALNAC2;UGGT2;B3GALNT1
cellular response to UV (GO:0034644),0.8692323012443581,1.1218986030339628,0.042,0.6987553493232485,68,23,METTL3;MC1R;CUL4B;COPS9;MFAP4;ZBTB1;ATF4;USP28;HYAL3;N4BP1;TMEM161A;NOC2L;ERCC1;TRIAP1;RHBDD1;POLD1;CERS1;TP73;DDB1;HYAL2;MYC;RUVBL2;KDM1A,METTL3;MC1R;CUL4B
DNA replication (GO:0006260),0.8725635263918133,1.136906205776915,0.007,0.7046950499670547,121,29,PIF1;NT5M;ORC1;PTMS;MCM6;RMI1;ARTN;POLD2;MCM3;POLE;PNKP;BARD1;SET;MCM5;RECQL4;NEXMIF;RBM14;MCM2;POLA1;MCM7;MCM4;CDK2AP1;KAT5;GRWD1;ING5;POLD1;ACHE;POLG;TOP1MT,PIF1;NT5M;ORC1
oligosaccharide metabolic process (GO:0009311),0.868527180298013,1.1279602641321829,0.026,0.7073297392888356,64,26,MAN2B2;ST6GALNAC2;MANBA;B3GALNT1;GALNT10;MAN2B1;GALNT17;GALNT1;MAN2C1;GALNT9;GALNT12;IDUA;NAGA;ST3GAL4;GALNT7;MAN1B1;GALNT14;ST6GALNAC6;FUT8;ST6GALNAC4;ST3GAL1;GALNT6;ST6GAL1;ST3GAL5;GALNT18;GALNT16,MAN2B2;ST6GALNAC2;MANBA;B3GALNT1;GALNT10
adenylate cyclase-activating G-protein coupled receptor signaling pathway (GO:0007189),0.8632751672382544,1.1169307514190718,0.031,0.7464950764969716,79,25,MC1R;GPR65;ADRA1B;GPR78;PTGER4;GPER1;PTGER2;PTGIR;ADM;ADCY7;PTGFR;ADRA1D;PTHLH;UCN2;TBXA2R;GNAL;ADRA2C;GPR3;ADCY3;GNAS;ABCA1;ADCY1;GNA13;ADCY9;GNB1,MC1R;GPR65;ADRA1B;GPR78
spindle assembly (GO:0051225),0.8682264642437186,1.1076546175219635,0.084,0.7678507058691226,81,16,GOLGA8K;HAUS7;GOLGA8B;TUBGCP6;FLNA;HAUS3;TUBGCP4;KPNB1;GOLGA8A;RCC1;ARHGEF10;KIF11;TUBGCP2;BIRC2;CLASP1;NEK7,GOLGA8K
tube closure (GO:0060606),0.8522998206839401,1.0868897243257498,0.114,0.7682609834646131,30,17,DEAF1;PAX2;PRICKLE1;SCRIB;TSC2;SKI;LRP2;COBL;LRP6;BCL10;TGFB2;VANGL2;SEMA4C;CELSR1;MTHFD1L;PLXNB2;TGFB1,DEAF1;PAX2
cation transport (GO:0006812),0.8571052747107881,1.1083270236400284,0.028,0.76861991925935,80,26,MCOLN1;SLC12A2;RHCG;SLC22A18;LRP2;SLC36A1;HCN4;SLC22A5;SLC25A29;P2RX5;SLC38A3;PANX1;PIEZO1;PANX2;GPRIN1;TMEM63C;SLC47A1;SLC6A17;MMGT1;SLC1A1;SLC6A15;SLC1A4;SLC6A9;SLC3A2;ANO10;SLC1A5,MCOLN1;SLC12A2;RHCG
cellular response to heat (GO:0034605),0.8712544153530539,1.1102928568554193,0.072,0.7714688689447348,48,16,HSPA9;HSBP1;HSPA13;THBS1;STUB1;IER5;HSF4;HTRA2;HSPA6;PDCD6;TRPV4;BAG3;HSPA5;MAPT;HMOX1;HYOU1,HSPA9;HSBP1;HSPA13
protein catabolic process (GO:0030163),0.8546885439623543,1.108760352775402,0.034,0.773559493415124,82,26,CUL4B;MANBA;BAG6;STT3B;ELANE;BACE1;SIAH1;NR1D1;SOCS6;HTRA2;CEACAM1;CLN6;APOE;TRIM24;SIAH2;FBXO2;FBXO44;RAB12;BACE2;PSMB5;DDB1;DAB2IP;HSP90AA1;ATE1;UBE2G2;LAMP2,CUL4B;MANBA;BAG6
negative regulation of cell morphogenesis involved in differentiation (GO:0010771),0.85355189641758,1.0878377709222407,0.117,0.7735953959456149,31,16,KANK1;ARHGDIA;NGFR;ERCC2;LRP4;LINGO1;ITGB1BP1;CORO1C;GDI1;FBLN1;RTN4R;MELTF;THY1;EFNB3;EFNA5;YWHAH,KANK1
regulation of Ras protein signal transduction (GO:0046578),0.8458867186351898,1.1108497427978241,0.019,0.7754021625082045,91,36,SMAP1;APLP2;NF1;ARAP3;AGAP6;RALGPS1;SYNGAP1;ARHGDIA;PLCE1;MYO9B;ARHGAP44;ADAP2;NUP62;ACAP3;TGFB2;ADAP1;ARHGAP17;AGAP1;MADD;RASA3;EPS8L2;RASGEF1A;ASAP1;AGAP3;SPRY2;SH3BP1;ASAP2;NOTCH1;SPRY1;ARF6;DAB2IP;AGFG1;SPRY4;AGAP2;EPHB2;RDX,SMAP1;APLP2;NF1;ARAP3;AGAP6
regulation of myeloid cell differentiation (GO:0045637),0.8377946910313181,1.0869013278035202,0.075,0.7759750126435142,66,24,HSPA9;KMT2B;CSF2;CBFB;THBS1;FES;HOXA5;L3MBTL1;SIN3A;CDC73;WDR5;KAT2B;PRMT1;ZFPM1;MYL9;LYN;RUNX1;PURB;MEIS1;TNRC6C;AGO4;MEIS2;LGALS3;TNRC6A,HSPA9;KMT2B;CSF2;CBFB
regulation of G1/S transition of mitotic cell cycle (GO:2000045),0.8724461568182592,1.1092206808792786,0.079,0.7775514070921118,47,16,PSME3;PSME1;PLK5;DACT1;PTPN6;CDC73;UBE2E2;RBL1;EIF4G1;KANK2;CDK2AP2;FHL1;DDX3X;RPTOR;CCND2;RDX,PSME3;PSME1;PLK5;DACT1
regulation of Notch signaling pathway (GO:0008593),0.8463689030952828,1.1114496041891202,0.018,0.77808287969227,71,41,AAK1;METTL3;RITA1;RFNG;DTX1;UBA52;LLGL1;NEURL1;MFNG;EGFL7;DLL1;PEAR1;EPN2;TGFB2;LFNG;POFUT1;ARRDC1;MAML3;STAT3;KAT2B;CHAC1;LLGL2;YTHDF2;POGLUT1;TSPAN17;NRARP;GATA2;ITGB1BP1;ARRB1;DLK2;FAM129B;ZMIZ1;JAG1;EGFR;NOTCH1;TSPAN14;TSPAN5;JAG2;NOTCH3;MMP14;RBPJ,AAK1;METTL3;RITA1;RFNG;DTX1
epidermal growth factor receptor signaling pathway (GO:0007173),0.8413867061551656,1.0879082926667616,0.08,0.7803889529929009,58,22,TGFA;KRAS;PLCE1;FES;PIK3R1;HBEGF;SOS1;SRC;HRAS;AKT1;PXN;FAM83A;NCK2;IQGAP1;EGFR;PDPK1;CSK;BCAR1;SHC1;PLCG1;TGFB1;SOX9,TGFA;KRAS
purine ribonucleotide metabolic process (GO:0009150),0.8430690897004198,1.0870245540865109,0.102,0.7817039010027509,67,19,ADSSL1;RAB23;BAD;NT5C2;PDE9A;GNAI3;HPRT1;IMPAD1;TPST1;SULT4A1;PODXL2;ABHD14B;PTHLH;TPST2;GTPBP1;AK4;ACLY;RHOQ;ATP1B1,ADSSL1;RAB23;BAD
regulation of actin filament polymerization (GO:0030833),0.8395641776476939,1.0881039047850358,0.068,0.7847156848121573,69,26,ARHGAP28;KANK1;RHOG;KANK3;BAIAP2;HIP1R;FCHSD1;PRKCD;PFN1;RAC1;TWF2;CTTN;LATS1;CDC42EP2;CDC42EP1;CDC42EP4;CDC42EP5;KANK2;MYADM;EPS8L2;NCK2;PLEKHG2;SLIT2;ARF6;CDC42EP3;MTPN,ARHGAP28;KANK1
nitrogen compound transport (GO:0071705),0.8592041863859715,1.114141800433088,0.038,0.7863601866489568,75,26,SLC38A2;SLC12A2;RHCG;ABCD1;SLC36A1;EDN1;SLC16A10;SLC43A2;SLC25A29;TMEM30A;ABCB6;ABCC1;SLC38A3;SLC52A2;SLC6A6;SLC7A6;SLC43A1;SLC7A1;SLC6A15;SLC1A4;SLC3A2;CD320;SLC38A1;TMEM30B;SLC7A2;SLC1A5,SLC38A2;SLC12A2;RHCG
negative regulation of catabolic process (GO:0009895),0.8723746804248155,1.1116438006217444,0.077,0.7899864398999433,41,16,AZIN2;MAD2L1;MAD2L2;CST3;PPARA;FLNA;CBFA2T3;FMN2;RILP;IL1B;PRKCG;ACTN3;ADGRB1;EGFR;SF3B3;AGAP2,AZIN2;MAD2L1;MAD2L2
regulation of organelle organization (GO:0033043),0.8236037914776272,1.0836886288850873,0.04,0.7904914885026852,114,39,TMEM33;TBC1D2B;CDT1;ATP13A2;MUL1;TBC1D10B;SGSM1;RHOT2;GRTP1;TBC1D8;CAMSAP3;TAOK1;TBC1D14;MAVS;TBC1D30;EVI5L;RUNDC1;SGSM2;PLXNB1;SCARB2;LMAN1;TMED9;CENPV;PDE4DIP;SYDE1;CAPN2;MSN;MAPT;TBC1D16;RBSN;TBC1D9B;STMN3;ZEB2;MAPK1;EHD3;MAPK3;RDX;CLIC4;SURF4,TMEM33;TBC1D2B;CDT1;ATP13A2
negative regulation of Notch signaling pathway (GO:0045746),0.8464016554447,1.0852923218914274,0.124,0.7905717087892645,30,18,METTL3;RITA1;UBA52;NEURL1;EGFL7;PEAR1;LFNG;ARRDC1;CHAC1;YTHDF2;NRARP;GATA2;ARRB1;DLK2;FAM129B;EGFR;NOTCH3;MMP14,METTL3;RITA1
calcium-mediated signaling (GO:0019722),0.842633838125749,1.094379001831317,0.062,0.7905756725071168,71,26,NUDT4;PLCG2;SLC9A1;AZU1;SLC8A1;ANK2;PLCE1;EDN1;FKBP1B;DMPK;ADGRL1;TRPM4;CAMKK2;PTGFR;P2RY11;PPP1R9B;CXCL8;BCAP31;SAMD14;PRNP;EGFR;PDPK1;ATP1B1;SPHK1;PLCG1;ATP2A2,NUDT4;PLCG2;SLC9A1
regulation of proteolysis (GO:0030162),0.8331152628746141,1.08483328746446,0.06,0.7916160602186428,64,30,ABTB2;BTBD1;BTBD6;BAG6;BAD;RNF139;AURKAIP1;BTBD11;CST3;CAV1;TRAF3;CDK5;BTBD2;TRIM32;ASPH;CLN6;LTBP4;FBXW11;KLHL11;PLK1;ABTB1;AKT1;CAMK2N1;CYFIP2;SPOPL;FGFR4;BTRC;SERPINE2;PLAT;PLAUR,ABTB2;BTBD1;BTBD6;BAG6;BAD;RNF139
myeloid leukocyte differentiation (GO:0002573),0.842710890206704,1.0881351131925265,0.107,0.7924951973836621,51,21,EFNA4;CSF2;CSF1R;CAMK4;PIK3CD;TNFRSF11A;CEBPA;CSF1;F2RL1;EFNA2;CBFA2T3;PRTN3;SBNO2;BATF3;THOC5;MAPK14;MYH9;FOXP1;MMP9;VEGFA;GLO1,EFNA4;CSF2
