Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
regulation of anatomical structure morphogenesis (GO:0022603),0.7896140134767393,1.201699577701039,0.022,0.30593433791755986,83,16,CLASP1;ADGRA2;HMOX1;GDNF;SFRP1;ZRANB1;ZMYM2;CAPZB;WARS;PHLDB2;EGLN1;ETS1;CFL1;SPARC;FGF2;IL6,CLASP1;ADGRA2
positive regulation of actin filament polymerization (GO:0030838),0.7985425061110583,1.2080555073032107,0.043,0.3104466720171338,52,15,CCR7;CCL26;RAC1;BAIAP2L1;ARPC4;PFN2;CDC42EP3;ARF6;FER;WIPF2;GSN;VASP;PFN1;CCL11;LMOD1,CCR7;CCL26;RAC1;BAIAP2L1;ARPC4
regulation of cell motility (GO:2000145),0.7737238013338003,1.1921215562356091,0.036,0.3164491916621947,110,19,CCR7;PKN2;HACE1;DAPK3;ROCK1;RAC1;INPP5F;LMO4;RHOC;SPINT2;DDX58;RHOA;AMOTL2;RHOB;SERPINE2;SGK1;CAVIN1;NEXN;FLNA,CCR7;PKN2;HACE1;DAPK3;ROCK1;RAC1
rRNA processing (GO:0006364),0.7383205753254257,1.2021955674982066,0.0,0.3171690312862157,203,81,PIH1D1;TFB1M;RPS26;RPS4Y1;CSNK1D;RPL36;IMP3;RPL23A;RPL35;RPS28;SBDS;RPL14;RPL34;RPS29;RPS21;RPL10A;RPL28;RPL30;RPS9;RPL41;CSNK1E;RPL11;RPS15A;RPS7;RPS25;RPL26;RPL15;RPL18;RPS19;RPS3;RPS3A;RPL7A;RPL19;RPLP2;RPS14;RPS2;RPL13;RPLP1;RPL37A;RPL27;RPL35A;RPL22;RPS20;RPS23;RPL4;RPL38;RPL18A;RPL27A;RPL37;RPS17;RPS13;RPS16;RPL6;RPS4X;RPS24;RPL12;RPL24;RPL39;RPS11;UBA52;RPL29;RPL31;RPS5;RPL7;RPL5;RPL8;RPL32;RPL23;RPS27;RPL21;RPS18;RPL3;RPL13A;RPS27A;RPLP0;RPS8;RPS6;RIOK3;RPL9;RPSA;RPL10,PIH1D1;TFB1M;RPS26
negative regulation of response to stimulus (GO:0048585),0.8036727591376006,1.2140641232824612,0.031031031031031032,0.3221515853250026,128,15,HLA-G;MAP2K5;FGFR1;EPHB3;NCOR2;IGF1R;THY1;LYN;COL3A1;ZC3H12A;AKT3;AXL;TGFB2;DDAH1;IGFBP3,HLA-G;MAP2K5;FGFR1;EPHB3
positive regulation of cell cycle (GO:0045787),0.7954901759580403,1.208121170526179,0.036,0.32719366808587763,83,15,DUSP3;PKN2;CCNY;CCNH;CCNC;CDKN1B;CCPG1;SPHK1;RPS15A;CITED2;TGFB2;EIF4EBP1;RPL23;CALR;ASNS,DUSP3;PKN2;CCNY
viral transcription (GO:0019083),0.7302204620451495,1.1923048012501203,0.0,0.32798706689386986,114,76,SEH1L;RPS26;RPS4Y1;RPL36;RPL23A;RPL35;RPS28;RPL14;RPL34;RPS29;NUP58;RPS21;RPL10A;RPL28;RPL30;RPS9;RPL41;RPL11;RPS15A;RPS7;RPS25;RPL26;RPL15;RPL18;RPS19;RPS3;RPS3A;RPL7A;RPL19;RPLP2;RPS14;RPS2;RPL13;RPLP1;RPL37A;RPL27;RPL35A;RPL22;RPS20;RPS23;RPL4;RPL38;RPL18A;RPL27A;RPL37;RPS17;RPS13;RPS16;RPL6;RPS4X;RPS24;RPL12;RPL24;RPL39;RPS11;UBA52;RPL29;RPL31;RPS5;RPL7;RPL5;RPL8;RPL32;RPL23;RPS27;RPL21;RPS18;RPL3;RPL13A;RPS27A;RPLP0;RPS8;RPS6;RPL9;RPSA;RPL10,SEH1L;RPS26
regulation of protein serine/threonine kinase activity (GO:0071900),0.7854714671799016,1.2026107548518654,0.025050100200400802,0.329827218751062,81,17,PIH1D1;CDK7;TRIB2;THY1;SRC;CDKN2B;PTEN;CALM3;CALM1;CDKN1B;RHOA;MAP2K1;PDCD10;TRIB3;CDKN1A;CCNG1;CALM2,PIH1D1;CDK7
regulation of cell death (GO:0010941),0.7907540803431558,1.1957289412145662,0.037037037037037035,0.33028812635234356,97,15,CHMP2A;CDKN1B;JUNB;MT3;ZC3H12A;PRKD1;NPAS2;IER3;TXNDC12;DLC1;BNIP3L;BNIP3;FGF2;CYR61;CTGF,CHMP2A
positive regulation of cytoskeleton organization (GO:0051495),0.8001616018522615,1.2222838582002145,0.016,0.33148889434116857,78,18,CCR7;CCL26;RAC1;BAIAP2L1;CDC42;PFN2;CDC42EP3;ARF6;FER;HAX1;VASP;CFL2;PFN1;WDR1;EDN1;CCL11;LMOD1;SYNPO2,CCR7;CCL26;RAC1;BAIAP2L1
glucose metabolic process (GO:0006006),0.7993012853184441,1.2148740752696412,0.025,0.3372278294810737,65,15,PPARD;GOT1;PGAM1;SLC25A1;GPI;IRS2;ALDOC;ALDOA;TPI1;ENO2;PCK2;ATF4;GAPDH;ENO1;PGK1,PPARD
viral gene expression (GO:0019080),0.7302204620451495,1.1871162042410917,0.0,0.3383242162558902,111,76,SEH1L;RPS26;RPS4Y1;RPL36;RPL23A;RPL35;RPS28;RPL14;RPL34;RPS29;NUP58;RPS21;RPL10A;RPL28;RPL30;RPS9;RPL41;RPL11;RPS15A;RPS7;RPS25;RPL26;RPL15;RPL18;RPS19;RPS3;RPS3A;RPL7A;RPL19;RPLP2;RPS14;RPS2;RPL13;RPLP1;RPL37A;RPL27;RPL35A;RPL22;RPS20;RPS23;RPL4;RPL38;RPL18A;RPL27A;RPL37;RPS17;RPS13;RPS16;RPL6;RPS4X;RPS24;RPL12;RPL24;RPL39;RPS11;UBA52;RPL29;RPL31;RPS5;RPL7;RPL5;RPL8;RPL32;RPL23;RPS27;RPL21;RPS18;RPL3;RPL13A;RPS27A;RPLP0;RPS8;RPS6;RPL9;RPSA;RPL10,SEH1L;RPS26
regulation of epithelial to mesenchymal transition (GO:0010717),0.7904650029066986,1.209030447127479,0.029,0.33932211995792916,69,17,CLASP1;TGFB1I1;IL1B;MCRIP1;SMAD7;PTEN;ADIPOR1;SFRP1;SNAI1;ZNF703;PHLDB2;TGFB2;COL1A1;DAB2;GREM1;LOXL2;TGFBR1,CLASP1;TGFB1I1;IL1B;MCRIP1
positive regulation of cell motility (GO:2000147),0.7499424178083884,1.1924148429861041,0.007,0.3408197925718789,180,33,CCR7;CCL26;FGF1;IL1B;CDH13;IGF1R;PTP4A1;IGF1;SNAI1;FER;ZNF703;SPHK1;HAS2;PDCD10;CD151;PDGFC;COL1A1;MYO1C;DAB2;VEGFA;RACK1;SOD2;XBP1;HSPA5;MYADM;CAVIN1;EDN1;CCL11;TGFBR1;THBS1;MYLK;CYR61;CEMIP,CCR7;CCL26;FGF1;IL1B
positive regulation of epithelial cell migration (GO:0010634),0.7835336651833351,1.2170941683130856,0.016,0.34424269409195346,75,22,CLASP1;FGF1;RAB11A;SRC;RTN4;FGF7;ZC3H12A;PRKD1;TGFB2;HIF1A;ETS1;ANGPT1;VEGFA;PFN1;RHOB;CALR;ADAM9;ITGB3;EDN1;WNT5A;SPARC;THBS1,CLASP1;FGF1;RAB11A
inorganic cation transmembrane transport (GO:0098662),0.8028241715506996,1.222433040968219,0.011,0.35777952549482234,141,17,SLC24A3;KCNK1;ATP6V1E1;NALCN;PKD1;TMCO1;SCN9A;SLC41A1;SLC39A6;TRPC4;SLC8A1;SLC39A14;GAS6;TRPA1;ATP2C1;ATP2A2;ITGAV,SLC24A3;KCNK1;ATP6V1E1
transcription elongation from RNA polymerase II promoter (GO:0006368),0.7675525179963544,1.171954090007248,0.044,0.3985812797266546,96,16,GTF2F2;CDK7;AFF4;CTDP1;POLR2H;CTR9;WDR61;ELOB;GTF2H5;POLR2G;CCNH;MLLT1;NCBP2;TAF7;MLLT3;TCEA1,GTF2F2;CDK7;AFF4;CTDP1;POLR2H;CTR9;WDR61
protein autophosphorylation (GO:0046777),0.8636896445044653,1.3169714455911155,0.001,0.39903292990198225,176,17,GRB2;PAK2;PINK1;FGFR1;EPHB3;DAPK3;SIK2;IGF1R;SRC;LYN;JAK1;FER;STK17B;MKNK2;PRKD1;CDKL5;PIM1,GRB2;PAK2;PINK1;FGFR1;EPHB3;DAPK3
platelet aggregation (GO:0070527),0.7694575744932695,1.1687661938565592,0.06606606606606606,0.3996693460581257,34,15,METAP1;STXBP1;TLN1;VCL;GAS6;GNAS;HSPB1;ITGB3;MYL12A;MYH9;CSRP1;FLNA;ACTB;ACTG1;MYL9,METAP1;STXBP1
positive regulation of cellular component biogenesis (GO:0044089),0.7748273440590929,1.1750471589006626,0.066,0.40175729265906945,88,16,PIH1D1;ERCC1;EPHB3;CHMP2A;SDC4;PFN2;SUMO1;RPS3;WARS;AJUBA;FNIP2;VEGFA;PFN1;HAS3;BDNF;SYNPO2,PIH1D1;ERCC1;EPHB3;CHMP2A
pyruvate metabolic process (GO:0006090),0.7718656057297826,1.176776171252743,0.056112224448897796,0.40189030856221836,47,15,PFKL;GLO1;PGAM1;PKM;HAGH;ME1;PDHB;ALDOA;SLC16A3;SLC16A1;TPI1;ENO2;PCK2;PGK1;LDHA,PFKL;GLO1
positive regulation of intracellular protein transport (GO:0090316),0.7501988799864521,1.1669102674753857,0.025,0.40232731941613686,153,24,CYB5R1;CSNK2A2;BAG3;PINK1;NKAP;IL1B;SH3GLB1;JUP;RHOU;OAZ2;PRR5L;EMD;IPO5;LEPROT;PSMD8;UBE2D3;ZC3H12A;PDCD10;TOMM7;MYO1C;OAZ1;GAS6;UGCG;CEMIP,CYB5R1;CSNK2A2;BAG3;PINK1;NKAP;IL1B
regulation of focal adhesion assembly (GO:0051893),0.7624398541177114,1.169203363185646,0.056,0.40881498715913456,45,16,CLASP1;DAPK3;ROCK1;RAC1;S100A10;PTPRJ;THY1;SRC;PTEN;SFRP1;CORO1C;RHOA;PHLDB2;VEGFA;DLC1;THBS1,CLASP1;DAPK3;ROCK1;RAC1;S100A10
homotypic cell-cell adhesion (GO:0034109),0.7694575744932695,1.1720921213276794,0.058,0.4107005594312799,39,15,METAP1;STXBP1;TLN1;VCL;GAS6;GNAS;HSPB1;ITGB3;MYL12A;MYH9;CSRP1;FLNA;ACTB;ACTG1;MYL9,METAP1;STXBP1
regulation of cellular macromolecule biosynthetic process (GO:2000112),0.7175501736606299,1.160500225525096,0.004,0.4217375062833183,632,62,MLF1;ZNF16;DENND4A;ZNF230;SAP30;ATF2;NR2C2;DAPK3;FADS1;NFYB;ZNF12;ZNF677;ZNF532;CTR9;METAP1;ZNF33B;PHF21A;RBBP6;ZNF131;ZNF699;ESCO1;ARNTL;HIC1;ZNF274;FOXO3;ZNF415;IGF2;CRABP2;SSBP2;ZNF140;RELA;EIF2A;YBX1;ZNF275;KDM3A;ZNF419;APBB3;NFIL3;ARNT2;ZNF703;TSC22D3;BHLHE40;HINT1;NR3C1;CNOT8;EDF1;AJUBA;HIF1A;PFDN5;RPL6;HIVEP2;ZNF470;CALR;ZNF395;BTG1;RORA;EFEMP1;ATF5;RBM3;RPL10;ATF4;TGFBR1,MLF1;ZNF16;DENND4A;ZNF230;SAP30;ATF2;NR2C2;DAPK3;FADS1;NFYB;ZNF12;ZNF677;ZNF532;CTR9;METAP1;ZNF33B;PHF21A;RBBP6;ZNF131;ZNF699;ESCO1;ARNTL;HIC1;ZNF274;FOXO3
RNA metabolic process (GO:0016070),0.7567939580232192,1.1623389370306163,0.053,0.42734955242492273,192,18,GTF2F2;HNRNPL;CELF2;PAPOLA;ATXN1;POLR2H;SIDT2;CASC3;RBPMS;POLR2G;NCBP2;DHX32;DHX40;ZC3H12A;DDX3Y;DDX50;DDX41;RBM3,GTF2F2;HNRNPL;CELF2;PAPOLA;ATXN1;POLR2H;SIDT2
proteolysis involved in cellular protein catabolic process (GO:0051603),0.7684338600761298,1.1607927921567274,0.07207207207207207,0.4307577701935489,94,15,YME1L1;HM13;NEDD8;NGLY1;PMAIP1;CUL4B;ZRANB1;LONP1;UBC;UBA52;ISG15;FAP;RPS27A;RNF41;ADAMTS12,YME1L1
regulation of stress fiber assembly (GO:0051492),0.7600168311440888,1.153268248171125,0.077,0.4617047685164957,61,16,CLASP1;ROCK1;WASF2;RAC1;S100A10;EVL;CDC42;PFN2;SFRP1;RHOA;PHLDB2;PFN1;DLC1;TGFBR1;TPM1;CTGF,CLASP1;ROCK1;WASF2;RAC1;S100A10
regulation of nucleic acid-templated transcription (GO:1903506),0.715033278858891,1.1538090612123488,0.002,0.46867025561894865,608,56,MLF1;ZNF16;DENND4A;ZNF230;SAP30;ATF2;NR2C2;DAPK3;FADS1;COPS2;NFYB;ZNF12;ZNF677;ZNF532;CTR9;ZNF33B;PHF21A;ZNF131;ZNF699;ARNTL;HIC1;ZNF274;ZNF415;IGF2;CRABP2;SSBP2;ZNF140;RELA;YBX1;ZNF275;KDM3A;ZNF419;APBB3;NFIL3;ARNT2;ZNF703;TSC22D3;BHLHE40;HINT1;NR3C1;CNOT8;EDF1;AJUBA;HIF1A;PFDN5;RPL6;HIVEP2;ZNF470;CALR;ZNF395;BTG1;RORA;EFEMP1;ATF5;ATF4;TGFBR1,MLF1;ZNF16;DENND4A;ZNF230;SAP30;ATF2;NR2C2;DAPK3;FADS1;COPS2;NFYB;ZNF12;ZNF677;ZNF532;CTR9;ZNF33B;PHF21A;ZNF131;ZNF699;ARNTL;HIC1;ZNF274
epithelium development (GO:0060429),0.7420141613420101,1.1510617270596992,0.066,0.4696387565964182,116,20,PIH1D1;CES1;ELF3;VDR;PKD1;PTER;PPP2R3A;ERRFI1;ALDOC;ACADVL;TST;VCL;VEGFA;STAT1;DACT1;VDAC1;LOXL3;CNN3;TAGLN;PGK1,PIH1D1;CES1
carboxylic acid biosynthetic process (GO:0046394),0.7601504700197792,1.1490494436054697,0.0940940940940941,0.47747842794983203,45,15,FADS1;RGN;IL1B;ALDH18A1;UGDH;GOT1;HAS1;HAS2;PYCR1;UGP2;HAS3;GLS;GPT2;ASNS;CEMIP,FADS1;RGN;IL1B;ALDH18A1
positive regulation of protein serine/threonine kinase activity (GO:0071902),0.7354887292432912,1.1469388255987083,0.044,0.4858258067066561,119,24,PIH1D1;FGFR1;FGF1;IL1B;CCNY;RAPGEF2;CCNH;SRC;CALM3;CCNC;CALM1;MALT1;RHOA;MAP2K1;PDCD10;PDGFC;TPD52L1;RASGRP1;VEGFA;CALM2;EDN1;WNT5A;FGF2;CEMIP,PIH1D1;FGFR1;FGF1;IL1B;CCNY;RAPGEF2
sphingolipid metabolic process (GO:0006665),0.7410175824629932,1.1414760553506456,0.069,0.5057528479966255,117,20,ST6GALNAC6;ORMDL2;VAPB;ELOVL5;CERS5;PLPP1;ORMDL3;SERINC1;ESYT1;SGPL1;DEGS1;HACD1;GALC;SPHK1;PRKD1;ESYT2;GLTP;ASAH1;UGCG;ARSB,ST6GALNAC6;ORMDL2
regulation of JNK cascade (GO:0046328),0.754043698695628,1.1416676624123852,0.1031031031031031,0.5156107322184135,91,15,CCR7;DUSP3;PINK1;IL1B;HDAC3;IGF1R;ITCH;RAP2A;TPD52L1;RASGRP1;RASSF2;DACT1;GADD45B;IL1A;CTGF,CCR7;DUSP3;PINK1;IL1B
positive regulation of endothelial cell migration (GO:0010595),0.7424743203497937,1.1426787167433694,0.07,0.5168100912369264,71,20,FGFR1;FGF1;MAP2K3;ZC3H12A;PRKD1;AKT3;HIF1A;TMSB4X;ETS1;ANGPT1;VEGFA;RHOB;HSPB1;CALR;ITGB3;EDN1;WNT5A;SPARC;THBS1;FGF2,FGFR1;FGF1;MAP2K3
regulation of ERK1 and ERK2 cascade (GO:0070372),0.7121314944271437,1.134395595826359,0.034,0.518102756052684,248,38,CCR7;RAP1A;DUSP3;FGFR1;EPHB3;CCL26;IL1B;PHB2;RAPGEF2;CCL13;IGF1R;CCL2;PTEN;RANBP9;TNIP1;SPRY1;MT3;LYN;SHC1;GSTP1;GBP1;MAP2K1;ACKR3;PDGFC;ICAM1;RASGRP1;AXL;HTR2A;ANGPT1;GAS6;CCL20;CCL11;FN1;IL1A;FGF2;CYR61;TIMP3;CTGF,CCR7;RAP1A;DUSP3;FGFR1;EPHB3;CCL26;IL1B;PHB2;RAPGEF2
negative regulation of canonical Wnt signaling pathway (GO:0090090),0.7357542985818084,1.1350228163163307,0.069,0.5225533274144776,149,21,CSNK1A1;PSME4;PSMF1;KREMEN1;SFRP1;MLLT3;PSMD8;JADE1;DKK3;PFDN5;UBC;SIAH2;IGFBP4;DAB2;UBA52;CTNND1;DACT1;RPS27A;GREM1;SFRP4;WNT5A,CSNK1A1;PSME4;PSMF1;KREMEN1
mitochondrion organization (GO:0007005),0.725186568043699,1.135548358423048,0.05,0.5280644114643765,168,28,YME1L1;TIMM8B;PINK1;TFB1M;RHOT1;AGTPBP1;MIGA1;PHB2;MEF2A;ATP7A;PRDX3;MGARP;TOMM20;NFE2L1;TSPO;TIMM17A;AKT3;CHCHD2;RAB32;IDH2;LONP1;TOMM7;SLC25A6;SOD2;SLC25A4;SLC25A36;BNIP3L;BNIP3,YME1L1;TIMM8B;PINK1;TFB1M;RHOT1;AGTPBP1;MIGA1;PHB2;MEF2A;ATP7A;PRDX3
ephrin receptor signaling pathway (GO:0048013),0.7294224059321253,1.1360331746567915,0.079,0.5350654324809494,83,23,ITSN1;EPHB3;ROCK1;RAC1;ARPC4;CDC42;PSEN1;ARPC3;SRC;ARPC5;ACTR2;LYN;AP2M1;AP2S1;RHOA;SIPA1L1;ARHGEF28;SDC2;ARPC2;ACTR3;MYL12A;ACTB;ACTG1,ITSN1;EPHB3;ROCK1;RAC1;ARPC4
positive regulation of mitochondrion organization (GO:0010822),0.7401769792791493,1.1364614441428027,0.09,0.5416099133550277,129,17,CYB5R1;CSNK2A2;PINK1;NKAP;MOAP1;SH3GLB1;RHOU;MGARP;PMAIP1;LEPROT;PSMD8;UBE2D3;TOMM7;BOK;UGCG;FAM162A;BNIP3,CYB5R1;CSNK2A2;PINK1;NKAP
rRNA metabolic process (GO:0016072),0.6886208847986137,1.1236091316589571,0.011,0.6197766368117377,201,83,PIH1D1;RPS26;XRN1;RPS4Y1;CSNK1D;RPL36;IMP3;RPL23A;RPL35;RPS28;SBDS;RPL14;RPL34;RPS29;RPS21;RPL10A;RPL28;RPL30;RPS9;RPL41;MARS;CSNK1E;RPL11;RPS15A;RPS7;RPS25;RPL26;RPL15;RPL18;RPS19;RPS3;RPS3A;RPL7A;RPL19;RPLP2;RPS14;RPS2;RPL13;RPLP1;RPL37A;RPL27;RPL35A;RPL22;RPS20;RPS23;RPL4;RPL38;RPL18A;RPL27A;RPL37;RPS17;RPS13;RPS16;RPL6;RPS4X;RPS24;RPL12;RPL24;RPL39;RPS11;UBA52;RPL29;RPL31;RPS5;RPL7;RPL5;RPL8;RPL32;RPL23;RPS27;RPL21;RPS18;RPL3;RPL13A;RPS27A;RPLP0;RPS8;RPS6;RIOK3;RPL9;CAVIN1;RPSA;RPL10,PIH1D1;RPS26;XRN1
plasma membrane bounded cell projection organization (GO:0120036),0.7207568997321866,1.1161587346631043,0.122,0.6429280571697664,119,22,CCR7;DBNDD1;ROCK1;ARFIP2;RAC1;TTC17;RAB11A;TBC1D23;FRY;RAPGEF2;ZFYVE27;LRP12;GDNF;MAP4;PLEKHA1;LYN;EHD1;DOCK7;CDH11;LIMA1;IL6;TPM1,CCR7;DBNDD1;ROCK1;ARFIP2;RAC1;TTC17;RAB11A;TBC1D23;FRY;RAPGEF2
positive regulation of ERK1 and ERK2 cascade (GO:0070374),0.7156319365100633,1.1179854507095712,0.082,0.6460903551731436,202,26,CCR7;RAP1A;FGFR1;EPHB3;CCL26;PHB2;RAPGEF2;CCL13;IGF1R;CCL2;MT3;SHC1;MAP2K1;ACKR3;PDGFC;ICAM1;RASGRP1;AXL;HTR2A;ANGPT1;GAS6;CCL20;CCL11;IL1A;FGF2;CTGF,CCR7;RAP1A;FGFR1;EPHB3;CCL26;PHB2;RAPGEF2
"DNA-templated transcription, elongation (GO:0006354)",0.7342255273350954,1.116681740567935,0.128,0.648944462760166,109,17,GTF2F2;CDK7;AFF4;CTDP1;POLR2H;CTR9;WDR61;ELOB;TAF1D;GTF2H5;POLR2G;CCNH;MLLT1;NCBP2;TAF7;MLLT3;TCEA1,GTF2F2;CDK7;AFF4;CTDP1;POLR2H;CTR9;WDR61
interleukin-1-mediated signaling pathway (GO:0070498),0.732484218720575,1.114438334665861,0.126,0.6507730028138075,96,16,CUL1;FBXW11;IL1B;UBE2N;PSME4;PSMF1;SKP1;TAB3;RELA;PSMD8;MAP3K8;TAB2;UBC;UBA52;RPS27A;IL1A,CUL1;FBXW11;IL1B;UBE2N;PSME4;PSMF1;SKP1;TAB3
actin cytoskeleton reorganization (GO:0031532),0.7366798649259259,1.118140225746011,0.132,0.6563371826160045,62,15,RAC1;FRY;FGF7;PIP5K1A;FER;RHOA;PARVA;ANTXR1;RAP2A;GSN;SIPA1L1;ATP2C1;NEDD9;MYH9;FLNA,RAC1;FRY
protein targeting (GO:0006605),0.7201104793413733,1.1127994234525271,0.108,0.6583646758930726,134,23,SRP54;TIMM8B;ZDHHC6;OPTN;SPCS1;MGARP;TOMM20;TMEM50A;TSPO;LAMP2;PRKCI;SEC61A1;AP4E1;SRP14;SRPRA;TIMM17A;SEC63;RPL11;TOMM7;MYO1C;SLC25A6;SEC61G;VPS13A,SRP54;TIMM8B;ZDHHC6
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154),0.7376472854841796,1.1181748914763157,0.12,0.6685359396723927,69,16,PIH1D1;PAK2;MAP2K5;IGBP1;LAMTOR5;NOL3;BIRC2;USP47;DNAJB6;SH3RF1;SRC;MT3;SIAH2;VEGFA;GAS6;THBS1,PIH1D1;PAK2;MAP2K5;IGBP1;LAMTOR5;NOL3
inflammatory response (GO:0006954),0.7017014500259489,1.1084307028739502,0.073,0.6974134857434755,253,31,CCR7;CXCL3;F11R;HDAC5;CCL26;IL1B;CXCL5;RAC1;MGLL;NOX4;ELF3;FPR1;CCL13;PRDX5;CCL2;RELA;ITCH;HSPG2;NFE2L1;LYN;AOC3;TNFAIP6;CXCL8;CCL20;DLC1;LOXL3;CCL11;IL1A;THBS1;IL6;TNFRSF11B,CCR7;CXCL3;F11R;HDAC5;CCL26;IL1B;CXCL5;RAC1;MGLL;NOX4
MAPK cascade (GO:0000165),0.6922659850441689,1.1031474882440115,0.068,0.752462096386595,279,40,GRB2;CUL1;SOS1;FBXW11;FGFR1;FGF1;IL1B;SPTAN1;PSME4;IL17RD;MEF2A;RAPGEF2;MYC;PSMF1;SKP1;NRAS;KRAS;CCL2;GDNF;RANBP9;FGF7;CALM1;IGF1;MT3;JAK1;SHC1;MBD4;IRS2;PSMD8;MAP2K1;RASGRP1;MAP3K8;UBC;ANGPT1;UBA52;PEA15;RPS27A;ITGAV;FGF2;CSF2RB,GRB2;CUL1;SOS1;FBXW11;FGFR1;FGF1;IL1B;SPTAN1;PSME4;IL17RD;MEF2A;RAPGEF2;MYC;PSMF1;SKP1;NRAS
positive regulation of transferase activity (GO:0051347),0.7022602592587796,1.0755292950307538,0.237,0.761722435057386,138,17,DCUN1D2;ZNF16;PINK1;FGFR1;EPHB3;DCUN1D4;UBE2N;MYC;IGF2;LMO4;IGF1R;SERINC1;RPS2;TRIB3;AXL;GREM1;NEK7,DCUN1D2;ZNF16;PINK1;FGFR1;EPHB3;DCUN1D4;UBE2N;MYC;IGF2
protein localization to cell periphery (GO:1990778),0.6966852557397145,1.0746816943491606,0.223,0.7637472382110225,118,19,ROCK1;PACS1;F11R;S100A10;RAB11A;EPB41L3;RAPGEF2;STXBP1;ZFYVE27;JUP;FAM126A;PIP5K1A;TMED2;RAP2A;EHD2;GAS6;RAB8B;MYADM;FLNA,ROCK1;PACS1;F11R;S100A10;RAB11A;EPB41L3;RAPGEF2;STXBP1
